#"No.","Time","Source","Destination","Protocol","Length","Info"
"53065","340.345272","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s165.m4s HTTP/1.1 "
"53549","340.680510","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s166.m4s HTTP/1.1 "
"53966","341.058934","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s167.m4s HTTP/1.1 "
"54270","341.285450","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s168.m4s HTTP/1.1 "
"54735","341.599348","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s169.m4s HTTP/1.1 "
"55101","341.829092","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s170.m4s HTTP/1.1 "
"55289","341.979986","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s171.m4s HTTP/1.1 "
"55711","342.295356","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s172.m4s HTTP/1.1 "
"56440","342.784115","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s173.m4s HTTP/1.1 "
"57328","343.356121","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s174.m4s HTTP/1.1 "
"58126","343.889344","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s175.m4s HTTP/1.1 "
"58943","344.432570","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s176.m4s HTTP/1.1 "
"59912","345.045731","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s177.m4s HTTP/1.1 "
"60700","345.632745","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s178.m4s HTTP/1.1 "
"61487","346.170021","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s179.m4s HTTP/1.1 "
"62156","348.147775","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s180.m4s HTTP/1.1 "
"63036","349.925677","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s181.m4s HTTP/1.1 "
"63887","352.186232","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s182.m4s HTTP/1.1 "
"64480","353.899918","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s183.m4s HTTP/1.1 "
"65337","355.907226","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s184.m4s HTTP/1.1 "
"66197","357.913996","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s185.m4s HTTP/1.1 "
"66945","360.202189","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s186.m4s HTTP/1.1 "
"67510","362.260780","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s187.m4s HTTP/1.1 "
"67960","364.022956","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s188.m4s HTTP/1.1 "
"68354","366.107196","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s189.m4s HTTP/1.1 "
"68792","368.035172","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s190.m4s HTTP/1.1 "
"69198","370.045378","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s191.m4s HTTP/1.1 "
"69617","372.054788","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s192.m4s HTTP/1.1 "
"69814","374.271086","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s193.m4s HTTP/1.1 "
"70059","375.894477","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s194.m4s HTTP/1.1 "
"70227","378.372823","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s195.m4s HTTP/1.1 "
"70461","379.930391","136.186.229.110","136.186.230.189","HTTP","539","GET /bunny_4219897bps/BigBuckBunny_2s196.m4s HTTP/1.1 "
